Numeric:   Analytic:  Relative Error:
0.403518   0.403518   8.3312e-08
0.403951   0.403951   8.3312e-08
0.404384   0.404384   8.3312e-08
0.404816   0.404816   8.3312e-08
0.405248   0.405248   8.3312e-08
0.405679   0.405679   8.3312e-08
0.40611   0.40611   8.3312e-08
0.40654   0.40654   8.3312e-08
0.40697   0.40697   8.33119e-08
0.407399   0.407399   8.33119e-08
0.407827   0.407828   8.33119e-08
0.408256   0.408256   8.33119e-08
0.408683   0.408683   8.33119e-08
0.40911   0.40911   8.33119e-08
0.409537   0.409537   8.33119e-08
0.409963   0.409963   8.33119e-08
0.410388   0.410388   8.33119e-08
0.410813   0.410813   8.33119e-08
0.411237   0.411237   8.33119e-08
0.411661   0.411661   8.33119e-08
0.412085   0.412085   8.33119e-08
0.412507   0.412507   8.33119e-08
0.41293   0.41293   8.33119e-08
0.413351   0.413352   8.33119e-08
0.413773   0.413773   8.33119e-08
0.414193   0.414194   8.33119e-08
0.414614   0.414614   8.33119e-08
0.415033   0.415033   8.33119e-08
0.415453   0.415453   8.33119e-08
0.415871   0.415871   8.33119e-08
0.416289   0.416289   8.33119e-08
0.416707   0.416707   8.33119e-08
0.417124   0.417124   8.33119e-08
0.417541   0.417541   8.33119e-08
0.417957   0.417957   8.33119e-08
0.418372   0.418372   8.33119e-08
0.418787   0.418787   8.33118e-08
0.419202   0.419202   8.33118e-08
0.419616   0.419616   8.33118e-08
0.420029   0.420029   8.33118e-08
0.420442   0.420442   8.33118e-08
0.420855   0.420855   8.33118e-08
0.421267   0.421267   8.33118e-08
0.421678   0.421678   8.33118e-08
0.422089   0.422089   8.33118e-08
0.4225   0.4225   8.33118e-08
0.42291   0.42291   8.33118e-08
0.423319   0.423319   8.33118e-08
0.423728   0.423728   8.33118e-08
0.424136   0.424136   8.33118e-08
0.424544   0.424544   8.33118e-08
0.424952   0.424952   8.33118e-08
0.425358   0.425358   8.33118e-08
0.425765   0.425765   8.33118e-08
0.426171   0.426171   8.33118e-08
0.426576   0.426576   8.33118e-08
0.426981   0.426981   8.33118e-08
0.427385   0.427385   8.33118e-08
0.427789   0.427789   8.33118e-08
0.428192   0.428192   8.33118e-08
0.428595   0.428595   8.33118e-08
0.428997   0.428998   8.33118e-08
0.429399   0.429399   8.33118e-08
0.429801   0.429801   8.33117e-08
0.430201   0.430202   8.33117e-08
0.430602   0.430602   8.33117e-08
0.431002   0.431002   8.33117e-08
0.431401   0.431401   8.33117e-08
0.4318   0.4318   8.33117e-08
0.432198   0.432198   8.33117e-08
0.432596   0.432596   8.33117e-08
0.432993   0.432993   8.33117e-08
0.43339   0.43339   8.33117e-08
0.433786   0.433786   8.33117e-08
0.434182   0.434182   8.33117e-08
0.434578   0.434578   8.33117e-08
0.434972   0.434972   8.33117e-08
0.435367   0.435367   8.33117e-08
0.435761   0.435761   8.33117e-08
0.436154   0.436154   8.33117e-08
0.436547   0.436547   8.33117e-08
0.436939   0.436939   8.33117e-08
0.437331   0.437331   8.33117e-08
0.437723   0.437723   8.33117e-08
0.438113   0.438114   8.33117e-08
0.438504   0.438504   8.33117e-08
0.438894   0.438894   8.33117e-08
0.439283   0.439283   8.33117e-08
0.439672   0.439672   8.33116e-08
0.440061   0.440061   8.33116e-08
0.440449   0.440449   8.33116e-08
0.440836   0.440836   8.33116e-08
0.441223   0.441223   8.33116e-08
0.44161   0.44161   8.33116e-08
0.441996   0.441996   8.33116e-08
0.442381   0.442381   8.33116e-08
0.442766   0.442766   8.33116e-08
0.443151   0.443151   8.33116e-08
0.443535   0.443535   8.33116e-08
0.443919   0.443919   8.33116e-08
0.444302   0.444302   8.33116e-08
0.444684   0.444684   8.33116e-08
0.445066   0.445066   8.33116e-08
0.445448   0.445448   8.33116e-08
0.445829   0.445829   8.33116e-08
0.44621   0.44621   8.33116e-08
0.44659   0.44659   8.33116e-08
0.44697   0.44697   8.33116e-08
0.447349   0.447349   8.33116e-08
0.447728   0.447728   8.33116e-08
0.448106   0.448106   8.33116e-08
0.448484   0.448484   8.33116e-08
0.448862   0.448862   8.33116e-08
0.449238   0.449238   8.33115e-08
0.449615   0.449615   8.33115e-08
0.449991   0.449991   8.33115e-08
0.450366   0.450366   8.33115e-08
0.450741   0.450741   8.33115e-08
0.451116   0.451116   8.33115e-08
0.45149   0.45149   8.33115e-08
0.451863   0.451863   8.33115e-08
0.452236   0.452236   8.33115e-08
0.452609   0.452609   8.33115e-08
0.452981   0.452981   8.33115e-08
0.453353   0.453353   8.33115e-08
0.453724   0.453724   8.33115e-08
0.454095   0.454095   8.33115e-08
0.454465   0.454465   8.33115e-08
0.454835   0.454835   8.33115e-08
0.455204   0.455204   8.33115e-08
0.455573   0.455573   8.33115e-08
0.455941   0.455941   8.33115e-08
0.456309   0.456309   8.33115e-08
0.456676   0.456677   8.33115e-08
